condition,model,label,chrom,seg_start,seg_end,bead_start,bead_end,radial_dist
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,82300000,82750000,5.9518683612711065
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,82750000,83550000,6.095133120687357
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,83550000,84500000,6.4349717694718755
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,84500000,85650000,6.311517559953391
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,85650000,86700000,6.492898764804515
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,86700000,87250000,6.336500079105185
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,87250000,94250000,6.3623551689684845
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,94250000,94800000,6.345812600337328
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,94800000,95500000,6.382151494190654
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,95500000,96300000,6.194629403626661
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,96300000,96850000,6.377954280172914
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,96850000,97750000,6.5113441956579905
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,97750000,98050000,6.7918440664763535
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,98050000,98600000,6.677156147801623
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,98600000,99000000,6.655309217679446
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,99000000,99800000,6.685550330188444
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,99800000,100350000,6.539006611767338
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,100350000,100800000,6.190086601891063
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,100800000,101700000,6.214961782592794
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,101700000,102250000,6.240736465783585
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,102250000,102600000,6.357059334050926
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,102600000,103350000,6.5067090870639825
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,103350000,103950000,6.5596816397877875
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,103950000,104600000,6.677126723099166
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,104600000,105550000,6.282900016188464
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,105550000,106200000,6.001729584736054
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,106200000,106600000,6.078452757307981
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,106600000,107150000,6.109047565251068
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,107150000,107850000,5.812358508393989
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,107850000,108550000,5.745021620687688
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,108550000,109100000,5.713715071941285
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,109100000,109700000,5.402073023960709
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,109700000,110300000,5.028143603550022
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,110300000,111050000,4.828202169343782
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,111050000,111550000,4.679600751866445
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,111550000,112050000,4.932870274588721
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,112050000,112550000,4.921302541421732
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,112550000,113000000,5.091344195625061
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,113000000,113700000,5.24303788255435
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,113700000,114350000,5.313899935555806
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,114350000,114800000,5.560784613532518
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,114800000,115200000,5.848105341715383
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,115200000,115850000,5.7856371421391435
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,115850000,116750000,6.1816971695967124
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,116750000,117550000,6.245945851278252
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,117550000,117950000,6.271067786685135
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,117950000,118850000,5.96536635050187
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,118850000,119250000,5.755640045772495
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,119250000,119800000,5.748677970899048
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,119800000,120200000,5.409576290034183
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,120200000,120850000,5.296820581716923
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,120850000,121500000,5.290128984041883
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,121500000,122350000,5.618755747476482
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,122350000,122700000,5.562126301640408
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,122700000,123300000,5.848654397902137
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,123300000,123600000,6.02118128174198
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,123600000,124000000,5.656750781899534
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,124000000,124750000,5.625963704137185
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,124750000,125600000,5.320147275779967
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,125600000,126650000,4.980028175224011
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,126650000,127000000,4.852514245908387
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,127000000,127550000,5.079058080350726
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,127550000,128050000,5.17782039229404
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,128050000,128650000,5.512954920595459
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,128650000,128950000,5.792698087987066
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,128950000,129350000,6.05605720350005
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,129350000,130100000,5.809272032286748
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,130100000,130700000,6.035366672582205
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,130700000,131000000,5.778568840393009
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,131000000,131500000,5.7125170493050605
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,131500000,132400000,5.5134114518054975
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,132400000,132700000,5.669090545360958
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,132700000,133400000,6.052157995938308
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,133400000,133800000,6.391107722781709
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,133800000,134200000,6.573321394226817
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,134200000,134550000,6.849182201883667
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,134550000,136050000,7.108008715954419
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,136050000,136350000,6.983509868301255
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,136350000,136750000,6.935999200608446
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,136750000,137100000,6.679325203390841
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,137100000,138050000,6.447112839804807
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,138050000,138950000,6.501744005388093
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,138950000,139350000,6.192838691512641
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,139350000,140100000,6.173551572004563
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,140100000,140850000,6.195676242227316
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,140850000,141300000,5.863103673021652
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,141300000,141600000,5.807092946302823
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,141600000,141950000,5.765902139795645
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,141950000,142450000,6.0238810403281535
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,142450000,143050000,6.41158105406342
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,143050000,143750000,6.781133278206527
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,143750000,144750000,6.898407385070847
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,144750000,145250000,6.822861143222028
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,145250000,145750000,6.89630535083997
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,145750000,146650000,7.183512505774664
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,146650000,147250000,6.933327650348063
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,147250000,147650000,7.089259140472719
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,147650000,148300000,7.152771018535474
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,148300000,148950000,6.9123383223583605
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,148950000,149350000,6.681406394203244
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,149350000,149850000,6.489277058688741
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,149850000,150200000,6.741994274363928
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,150200000,150550000,6.482888525369614
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,150550000,151150000,6.307392934914843
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,151150000,151950000,6.258592213820933
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,151950000,152500000,6.192161056678355
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,152500000,153000000,6.220396223360017
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,153000000,154050000,6.215450108721089
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,154050000,154750000,5.941682016617853
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,154750000,155350000,5.769916220432408
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,155350000,156000000,5.598741470134963
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,156000000,156550000,5.449191642090504
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,156550000,157150000,5.642621125861987
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,157150000,157550000,5.886526826486077
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,157550000,158800000,5.5648787124266565
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,158800000,159250000,5.376135746871446
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,159250000,160000000,5.248741133007418
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,160000000,160500000,5.399338685382543
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,160500000,161450000,5.525829867395123
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,161450000,161850000,5.233470802902124
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,161850000,163050000,5.060044210821582
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,163050000,163500000,4.716731716967163
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,163500000,163950000,4.6773595341961895
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,163950000,164600000,4.747004114900366
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,164600000,165200000,4.990999986656382
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,165200000,166000000,5.226011020949352
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,166000000,167350000,5.384458349925366
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,167350000,167900000,5.541069506703917
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,167900000,168850000,5.877910824785367
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,168850000,169750000,5.869183195351804
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,169750000,170400000,5.832229618457271
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,170400000,170900000,5.438572403480976
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,170900000,171600000,5.6681182997577775
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,171600000,172350000,5.842847787299759
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,172350000,172800000,5.888970883354409
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,172800000,173350000,5.981868025669322
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,173350000,174100000,5.592791312146735
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,174100000,174700000,5.236722543182997
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,174700000,175150000,4.922792127481009
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,175150000,175950000,4.818216045989091
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,175950000,176450000,5.152293918798035
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,176450000,176950000,5.382149520837934
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,176950000,177800000,5.77516376514779
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,177800000,178400000,5.9177934815287365
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,178400000,179000000,6.183981793081542
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,179000000,179650000,6.088788142457906
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,179650000,180600000,5.863265603733895
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,180600000,181200000,6.059169382638185
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,181200000,181700000,6.364548614355931
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,181700000,182250000,6.600033264946473
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,182250000,182700000,6.610281376900684
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,182700000,183450000,6.254028534001105
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,183450000,183850000,6.254236506193222
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,183850000,184350000,5.8958808440554495
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,184350000,184850000,5.8413161103727305
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,184850000,185300000,5.953544623911037
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,185300000,185600000,5.562758399732996
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,185600000,185950000,5.588531474314161
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,185950000,186550000,5.283534793024458
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,186550000,187700000,5.322700159015253
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,187700000,188150000,5.284971564019999
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,188150000,189250000,5.43902997362811
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,189250000,189950000,5.20814165800901
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,189950000,190700000,5.474116970792733
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,190700000,191100000,5.684468824560479
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,191100000,191400000,6.0548283683374535
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,191400000,192150000,6.125367126267385
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,192150000,192450000,6.3365700003161365
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,192450000,193100000,6.103299103968607
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,193100000,193650000,6.081422506871562
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,193650000,194400000,5.837351479287469
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,194400000,195250000,5.694579518006575
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,195250000,195725000,5.34052411726424
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,195725000,196550000,5.326962139133429
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,196550000,197000000,5.436432130239464
WT,model_0009,Der(3)t(3;17),chr3,58600001,198295559,197000000,198295559,5.111996764680119
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,0,2350000,2.0465511462128183
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,2350000,2750000,1.7009064070677142
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,2750000,3650000,2.031723822224861
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,3650000,4100000,2.180839443517335
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,4100000,4650000,1.8519586353979398
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,4650000,5100000,2.1153242559969385
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,5100000,5550000,1.8617212039220588
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,5550000,6450000,1.5013742575230866
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,6450000,8350000,1.1321939007065
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,8350000,8950000,0.9881928207369248
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,8950000,10300000,0.9756745079124749
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,10300000,10700000,0.9668541426842624
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,10700000,12200000,1.3129417190789543
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,12200000,13050000,1.559326279501824
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,13050000,13600000,1.405114210977172
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,13600000,14300000,1.5462652891146098
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,14300000,15200000,1.8956716400579006
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,15200000,16350000,2.191906446505644
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,16350000,16950000,2.155082214287427
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,16950000,17300000,1.7656311346512896
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,17300000,17650000,1.8164509050877207
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,17650000,18100000,1.4410994508211432
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,18100000,19150000,1.4566141506782915
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,19150000,19850000,1.0895405456437863
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,19850000,20350000,0.9622538901953059
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,20350000,21100000,0.8744935686881865
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,21100000,21550000,0.681847697353302
WT,model_0009,Der(3)t(3;17),chr17,0,22700000,21550000,25050000,0.4499700111985242
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,0,2350000,2.0465511462128183
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,2350000,2750000,1.7009064070677142
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,2750000,3650000,2.031723822224861
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,3650000,4100000,2.180839443517335
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,4100000,4650000,1.8519586353979398
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,4650000,5100000,2.1153242559969385
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,5100000,5550000,1.8617212039220588
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,5550000,6450000,1.5013742575230866
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,6450000,8350000,1.1321939007065
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,8350000,8950000,0.9881928207369248
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,8950000,10300000,0.9756745079124749
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,10300000,10700000,0.9668541426842624
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,10700000,12200000,1.3129417190789543
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,12200000,13050000,1.559326279501824
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,13050000,13600000,1.405114210977172
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,13600000,14300000,1.5462652891146098
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,14300000,15200000,1.8956716400579006
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,15200000,16350000,2.191906446505644
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,16350000,16950000,2.155082214287427
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,16950000,17300000,1.7656311346512896
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,17300000,17650000,1.8164509050877207
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,17650000,18100000,1.4410994508211432
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,18100000,19150000,1.4566141506782915
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,19150000,19850000,1.0895405456437863
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,19850000,20350000,0.9622538901953059
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,20350000,21100000,0.8744935686881865
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,21100000,21550000,0.681847697353302
WT,model_0009,chr17 frag in Der(3),chr17,0,22700000,21550000,25050000,0.4499700111985242
WT,model_0009,t(6;19),chr6,0,170805979,0,1550000,4.334248200126522
WT,model_0009,t(6;19),chr6,0,170805979,1550000,2200000,4.653862027359643
WT,model_0009,t(6;19),chr6,0,170805979,2200000,2750000,4.504287289383305
WT,model_0009,t(6;19),chr6,0,170805979,2750000,3100000,4.9005475166556645
WT,model_0009,t(6;19),chr6,0,170805979,3100000,3750000,5.22431966217612
WT,model_0009,t(6;19),chr6,0,170805979,3750000,4250000,4.877395370851127
WT,model_0009,t(6;19),chr6,0,170805979,4250000,5050000,4.599074738890422
WT,model_0009,t(6;19),chr6,0,170805979,5050000,5450000,4.590949504209341
WT,model_0009,t(6;19),chr6,0,170805979,5450000,6050000,4.728113759048105
WT,model_0009,t(6;19),chr6,0,170805979,6050000,6600000,4.844207724262039
WT,model_0009,t(6;19),chr6,0,170805979,6600000,7250000,5.1616365578758066
WT,model_0009,t(6;19),chr6,0,170805979,7250000,7650000,5.529980339901761
WT,model_0009,t(6;19),chr6,0,170805979,7650000,8100000,5.419974588510541
WT,model_0009,t(6;19),chr6,0,170805979,8100000,8950000,5.394308815511029
WT,model_0009,t(6;19),chr6,0,170805979,8950000,9400000,5.360301381722859
WT,model_0009,t(6;19),chr6,0,170805979,9400000,9950000,5.349269519654062
WT,model_0009,t(6;19),chr6,0,170805979,9950000,10450000,5.009463747208876
WT,model_0009,t(6;19),chr6,0,170805979,10450000,11100000,5.1245884131410975
WT,model_0009,t(6;19),chr6,0,170805979,11100000,11600000,5.024964135085942
WT,model_0009,t(6;19),chr6,0,170805979,11600000,12150000,5.381149542662794
WT,model_0009,t(6;19),chr6,0,170805979,12150000,12600000,5.432721433664716
WT,model_0009,t(6;19),chr6,0,170805979,12600000,13300000,5.797280854547242
WT,model_0009,t(6;19),chr6,0,170805979,13300000,13600000,5.62072763521628
WT,model_0009,t(6;19),chr6,0,170805979,13600000,14200000,5.5165338649555125
WT,model_0009,t(6;19),chr6,0,170805979,14200000,14750000,5.403209317411644
WT,model_0009,t(6;19),chr6,0,170805979,14750000,15650000,5.062697412510055
WT,model_0009,t(6;19),chr6,0,170805979,15650000,16300000,5.042772905108855
WT,model_0009,t(6;19),chr6,0,170805979,16300000,17100000,4.706004461738217
WT,model_0009,t(6;19),chr6,0,170805979,17100000,17600000,4.721562432521676
WT,model_0009,t(6;19),chr6,0,170805979,17600000,18250000,4.860892403026424
WT,model_0009,t(6;19),chr6,0,170805979,18250000,18550000,4.627484584544826
WT,model_0009,t(6;19),chr6,0,170805979,18550000,19000000,4.267081027123343
WT,model_0009,t(6;19),chr6,0,170805979,19000000,20100000,4.406072889585919
WT,model_0009,t(6;19),chr6,0,170805979,20100000,20550000,4.372216029715367
WT,model_0009,t(6;19),chr6,0,170805979,20550000,21600000,4.203344879807033
WT,model_0009,t(6;19),chr6,0,170805979,21600000,21950000,4.172121612129732
WT,model_0009,t(6;19),chr6,0,170805979,21950000,22900000,3.8121387322735254
WT,model_0009,t(6;19),chr6,0,170805979,22900000,23450000,3.7261501983817027
WT,model_0009,t(6;19),chr6,0,170805979,23450000,24400000,3.962515645420217
WT,model_0009,t(6;19),chr6,0,170805979,24400000,25200000,4.292302222863623
WT,model_0009,t(6;19),chr6,0,170805979,25200000,25600000,4.305135674679719
WT,model_0009,t(6;19),chr6,0,170805979,25600000,26000000,4.603633990186449
WT,model_0009,t(6;19),chr6,0,170805979,26000000,27150000,4.792765008030333
WT,model_0009,t(6;19),chr6,0,170805979,27150000,27800000,4.686497684572136
WT,model_0009,t(6;19),chr6,0,170805979,27800000,31000000,4.962714737117175
WT,model_0009,t(6;19),chr6,0,170805979,31000000,33750000,4.930699265844552
WT,model_0009,t(6;19),chr6,0,170805979,33750000,34150000,4.564636155587869
WT,model_0009,t(6;19),chr6,0,170805979,34150000,34450000,4.210615537270056
WT,model_0009,t(6;19),chr6,0,170805979,34450000,35250000,3.893572875509074
WT,model_0009,t(6;19),chr6,0,170805979,35250000,35800000,3.6275262561949844
WT,model_0009,t(6;19),chr6,0,170805979,35800000,36400000,4.005332043414628
WT,model_0009,t(6;19),chr6,0,170805979,36400000,36750000,4.401628728493579
WT,model_0009,t(6;19),chr6,0,170805979,36750000,37300000,4.251890903836198
WT,model_0009,t(6;19),chr6,0,170805979,37300000,37750000,4.2725083051060295
WT,model_0009,t(6;19),chr6,0,170805979,37750000,38150000,4.618746346142425
WT,model_0009,t(6;19),chr6,0,170805979,38150000,38700000,4.533798762455277
WT,model_0009,t(6;19),chr6,0,170805979,38700000,39350000,4.6983863434694255
WT,model_0009,t(6;19),chr6,0,170805979,39350000,39900000,5.02324219229971
WT,model_0009,t(6;19),chr6,0,170805979,39900000,41050000,4.92795526273971
WT,model_0009,t(6;19),chr6,0,170805979,41050000,41700000,4.689632599618013
WT,model_0009,t(6;19),chr6,0,170805979,41700000,42200000,4.910586992254592
WT,model_0009,t(6;19),chr6,0,170805979,42200000,42600000,5.09830853971197
WT,model_0009,t(6;19),chr6,0,170805979,42600000,43600000,4.915804003141297
WT,model_0009,t(6;19),chr6,0,170805979,43600000,44450000,5.116718101234423
WT,model_0009,t(6;19),chr6,0,170805979,44450000,45350000,5.317843175433063
WT,model_0009,t(6;19),chr6,0,170805979,45350000,45900000,5.666353528275481
WT,model_0009,t(6;19),chr6,0,170805979,45900000,46800000,5.9422838949851595
WT,model_0009,t(6;19),chr6,0,170805979,46800000,47350000,5.674144182597055
WT,model_0009,t(6;19),chr6,0,170805979,47350000,47800000,5.537919646202895
WT,model_0009,t(6;19),chr6,0,170805979,47800000,48750000,5.530439570639933
WT,model_0009,t(6;19),chr6,0,170805979,48750000,49450000,5.7910084228742065
WT,model_0009,t(6;19),chr6,0,170805979,49450000,50100000,5.95522383774951
WT,model_0009,t(6;19),chr6,0,170805979,50100000,50800000,5.915529569810297
WT,model_0009,t(6;19),chr6,0,170805979,50800000,51550000,5.993813502445668
WT,model_0009,t(6;19),chr6,0,170805979,51550000,52250000,6.385795721740557
WT,model_0009,t(6;19),chr6,0,170805979,52250000,52700000,6.648793265525708
